 TIME_UT    SZA    [W.m-2]   st.dev
  0.0167   154.23   -0.061    0.133
  0.0333   154.08   -0.049    0.129
  0.0500   153.92   -0.055    0.171
  0.0667   153.77   -0.061    0.134
  0.0833   153.61   -0.025    0.140
  0.1000   153.46   -0.013    0.120
  0.1167   153.30   -0.017    0.104
  0.1333   153.14   -0.057    0.131
  0.1500   152.98   -0.034    0.130
  0.1667   152.82   -0.021    0.133
  0.1833   152.66   -0.029    0.108
  0.2000   152.50   -0.042    0.133
  0.2167   152.34    0.023    0.119
  0.2333   152.18   -0.002    0.127
  0.2500   152.02   -0.027    0.104
  0.2667   151.85   -0.057    0.127
  0.2833   151.69   -0.067    0.097
  0.3000   151.53   -0.051    0.126
  0.3167   151.36   -0.008    0.112
  0.3333   151.20   -0.046    0.148
  0.3500   151.03   -0.002    0.128
  0.3667   150.87   -0.053    0.098
  0.3833   150.70   -0.025    0.083
  0.4000   150.53   -0.015    0.097
  0.4167   150.36   -0.025    0.126
  0.4333   150.20   -0.044    0.119
  0.4500   150.03   -0.034    0.101
  0.4667   149.86    0.034    0.106
  0.4833   149.69   -0.008    0.143
  0.5000   149.52    0.013    0.115
  0.5167   149.35   -0.025    0.090
  0.5333   149.18    0.011    0.104
  0.5500   149.01   -0.017    0.109
  0.5667   148.83   -0.029    0.115
  0.5833   148.66   -0.021    0.111
  0.6000   148.49   -0.057    0.116
  0.6167   148.32   -0.019    0.107
  0.6333   148.14   -0.053    0.097
  0.6500   147.97   -0.002    0.099
  0.6667   147.80   -0.019    0.108
  0.6833   147.62   -0.044    0.108
  0.7000   147.45   -0.048    0.133
  0.7167   147.27   -0.015    0.106
  0.7333   147.10   -0.002    0.123
  0.7500   146.92   -0.011    0.115
  0.7667   146.74   -0.017    0.125
  0.7833   146.57   -0.044    0.099
  0.8000   146.39   -0.068    0.077
  0.8167   146.21   -0.019    0.131
  0.8333   146.03   -0.051    0.103
  0.8500   145.86   -0.044    0.116
  0.8667   145.68   -0.021    0.087
  0.8833   145.50   -0.038    0.128
  0.9000   145.32    0.002    0.099
  0.9167   145.14   -0.011    0.130
  0.9333   144.96   -0.008    0.120
  0.9500   144.78   -0.015    0.118
  0.9667   144.60    0.002    0.110
  0.9833   144.43   -0.063    0.104
  1.0000   144.25   -0.013    0.119
  1.0167   144.06   -0.038    0.114
  1.0333   143.88   -0.019    0.116
  1.0500   143.70    0.002    0.122
  1.0667   143.52    0.044    0.100
  1.0833   143.34   -0.040    0.105
  1.1000   143.16   -0.011    0.110
  1.1167   142.98   -0.023    0.119
  1.1333   142.79   -0.057    0.111
  1.1500   142.61    0.008    0.137
  1.1667   142.43   -0.027    0.116
  1.1833   142.25   -0.010    0.113
  1.2000   142.06    0.044    0.103
  1.2167   141.88   -0.019    0.117
  1.2333   141.70    0.013    0.085
  1.2500   141.51   -0.034    0.117
  1.2667   141.33   -0.029    0.134
  1.2833   141.15   -0.044    0.112
  1.3000   140.96   -0.023    0.119
  1.3167   140.78   -0.046    0.127
  1.3333   140.59    0.008    0.087
  1.3500   140.41   -0.015    0.106
  1.3667   140.22   -0.011    0.077
  1.3833   140.04    0.019    0.105
  1.4000   139.85    0.008    0.106
  1.4167   139.67    0.015    0.075
  1.4333   139.48    0.006    0.094
  1.4500   139.30   -0.025    0.095
  1.4667   139.11    0.021    0.117
  1.4833   138.93    0.010    0.120
  1.5000   138.74    0.016    0.100
  1.5167   138.55   -0.004    0.103
  1.5333   138.37   -0.010    0.127
  1.5500   138.18    0.010    0.119
  1.5667   138.00    0.000    0.096
  1.5833   137.81   -0.004    0.095
  1.6000   137.62   -0.002    0.085
  1.6167   137.44    0.008    0.112
  1.6333   137.25   -0.051    0.130
  1.6500   137.06    0.000    0.152
  1.6667   136.87    0.004    0.118
  1.6833   136.69    0.032    0.129
  1.7000   136.50   -0.010    0.101
  1.7167   136.31   -0.027    0.097
  1.7333   136.12    0.008    0.110
  1.7500   135.94   -0.019    0.134
  1.7667   135.75   -0.015    0.143
  1.7833   135.56   -0.015    0.137
  1.8000   135.37    0.013    0.104
  1.8167   135.19    0.000    0.127
  1.8333   135.00    0.015    0.081
  1.8500   134.81   -0.027    0.085
  1.8667   134.62   -0.013    0.125
  1.8833   134.43    0.006    0.117
  1.9000   134.24    0.015    0.101
  1.9167   134.06    0.002    0.094
  1.9333   133.87    0.008    0.123
  1.9500   133.68    0.006    0.128
  1.9667   133.49    0.021    0.082
  1.9833   133.30    0.023    0.117
  2.0000   133.11    0.017    0.127
  2.0167   132.92    0.008    0.116
  2.0333   132.73    0.002    0.105
  2.0500   132.55    0.015    0.114
  2.0667   132.36   -0.030    0.132
  2.0833   132.17   -0.002    0.158
  2.1000   131.98    0.006    0.114
  2.1167   131.79   -0.002    0.087
  2.1333   131.60    0.025    0.133
  2.1500   131.41   -0.013    0.089
  2.1667   131.22    0.032    0.118
  2.1833   131.03    0.042    0.102
  2.2000   130.84    0.036    0.114
  2.2167   130.65    0.023    0.104
  2.2333   130.46    0.068    0.104
  2.2500   130.28    0.021    0.095
  2.2667   130.09    0.040    0.091
  2.2833   129.90    0.049    0.146
  2.3000   129.71    0.070    0.123
  2.3167   129.52    0.044    0.105
  2.3333   129.33    0.049    0.092
  2.3500   129.14    0.051    0.081
  2.3667   128.95    0.044    0.105
  2.3833   128.76    0.000    0.123
  2.4000   128.57    0.044    0.112
  2.4167   128.38    0.044    0.102
  2.4333   128.19    0.057    0.116
  2.4500   128.00    0.097    0.089
  2.4667   127.81    0.049    0.115
  2.4833   127.62    0.032    0.090
  2.5000   127.43    0.040    0.113
  2.5167   127.24    0.013    0.097
  2.5333   127.05    0.027    0.120
  2.5500   126.86    0.017    0.116
  2.5667   126.67    0.011    0.120
  2.5833   126.48    0.025    0.108
  2.6000   126.29    0.027    0.110
  2.6167   126.10    0.015    0.099
  2.6333   125.91    0.000    0.115
  2.6500   125.72   -0.004    0.123
  2.6667   125.53    0.006    0.100
  2.6833   125.34    0.030    0.136
  2.7000   125.16    0.040    0.103
  2.7167   124.97    0.011    0.097
  2.7333   124.78    0.011    0.111
  2.7500   124.59   -0.013    0.099
  2.7667   124.40    0.055    0.128
  2.7833   124.21   -0.011    0.108
  2.8000   124.02    0.021    0.105
  2.8167   123.83    0.030    0.122
  2.8333   123.64    0.021    0.132
  2.8500   123.45    0.032    0.112
  2.8667   123.26   -0.029    0.140
  2.8833   123.07    0.021    0.096
  2.9000   122.88    0.053    0.111
  2.9167   122.69    0.013    0.107
  2.9333   122.50   -0.008    0.103
  2.9500   122.31    0.032    0.117
  2.9667   122.12    0.029    0.099
  2.9833   121.93   -0.013    0.121
  3.0000   121.75    0.002    0.108
  3.0167   121.56   -0.002    0.076
  3.0333   121.37    0.017    0.109
  3.0500   121.18    0.008    0.091
  3.0667   120.99   -0.029    0.119
  3.0833   120.80    0.019    0.111
  3.1000   120.61    0.065    0.130
  3.1167   120.42    0.004    0.085
  3.1333   120.23   -0.004    0.098
  3.1500   120.05    0.032    0.120
  3.1667   119.86   -0.002    0.125
  3.1833   119.67    0.006    0.094
  3.2000   119.48    0.036    0.108
  3.2167   119.29    0.025    0.119
  3.2333   119.10    0.021    0.110
  3.2500   118.91    0.004    0.102
  3.2667   118.72   -0.048    0.113
  3.2833   118.54   -0.010    0.129
  3.3000   118.35    0.006    0.110
  3.3167   118.16    0.036    0.114
  3.3333   117.97    0.040    0.122
  3.3500   117.78    0.025    0.118
  3.3667   117.59    0.034    0.116
  3.3833   117.41    0.008    0.116
  3.4000   117.22    0.021    0.107
  3.4167   117.03   -0.006    0.100
  3.4333   116.84    0.029    0.109
  3.4500   116.66    0.004    0.122
  3.4667   116.47    0.036    0.117
  3.4833   116.28   -0.006    0.105
  3.5000   116.09   -0.015    0.099
  3.5167   115.91    0.011    0.100
  3.5333   115.72    0.027    0.123
  3.5500   115.53    0.013    0.108
  3.5667   115.34    0.013    0.118
  3.5833   115.16    0.030    0.120
  3.6000   114.97    0.021    0.109
  3.6167   114.78    0.004    0.127
  3.6333   114.60   -0.029    0.114
  3.6500   114.41   -0.011    0.095
  3.6667   114.22   -0.006    0.094
  3.6833   114.04   -0.011    0.099
  3.7000   113.85   -0.008    0.119
  3.7167   113.66    0.004    0.102
  3.7333   113.48   -0.021    0.123
  3.7500   113.29   -0.051    0.111
  3.7667   113.11   -0.011    0.135
  3.7833   112.92   -0.019    0.095
  3.8000   112.73   -0.025    0.103
  3.8167   112.55    0.004    0.117
  3.8333   112.36   -0.017    0.128
  3.8500   112.18   -0.008    0.118
  3.8667   111.99   -0.008    0.118
  3.8833   111.81   -0.025    0.114
  3.9000   111.62   -0.008    0.086
  3.9167   111.44   -0.042    0.144
  3.9333   111.25   -0.065    0.119
  3.9500   111.06   -0.015    0.117
  3.9667   110.88   -0.030    0.110
  3.9833   110.69    0.015    0.123
  4.0000   110.51   -0.002    0.110
  4.0167   110.33   -0.017    0.131
  4.0333   110.14    0.008    0.117
  4.0500   109.96    0.032    0.086
  4.0667   109.77   -0.013    0.120
  4.0833   109.59   -0.002    0.118
  4.1000   109.40   -0.013    0.141
  4.1167   109.22    0.023    0.108
  4.1333   109.04    0.010    0.101
  4.1500   108.85   -0.029    0.124
  4.1667   108.67    0.006    0.125
  4.1833   108.49    0.019    0.111
  4.2000   108.30   -0.013    0.108
  4.2167   108.12    0.027    0.124
  4.2333   107.94    0.000    0.109
  4.2500   107.75   -0.019    0.135
  4.2667   107.57   -0.023    0.123
  4.2833   107.39    0.027    0.127
  4.3000   107.21    0.000    0.096
  4.3167   107.02    0.030    0.103
  4.3333   106.84    0.011    0.118
  4.3500   106.66    0.032    0.131
  4.3667   106.48    0.044    0.118
  4.3833   106.30    0.019    0.132
  4.4000   106.11    0.029    0.111
  4.4167   105.93   -0.019    0.136
  4.4333   105.75   -0.010    0.128
  4.4500   105.57    0.025    0.138
  4.4667   105.39   -0.013    0.115
  4.4833   105.21   -0.029    0.095
  4.5000   105.03   -0.011    0.113
  4.5167   104.85   -0.017    0.153
  4.5333   104.67   -0.008    0.105
  4.5500   104.48    0.025    0.140
  4.5667   104.31   -0.015    0.115
  4.5833   104.12   -0.053    0.106
  4.6000   103.94    0.004    0.087
  4.6167   103.77    0.008    0.106
  4.6333   103.58   -0.004    0.101
  4.6500   103.41   -0.042    0.113
  4.6667   103.23    0.017    0.109
  4.6833   103.05   -0.002    0.107
  4.7000   102.87   -0.063    0.115
  4.7167   102.69    0.013    0.123
  4.7333   102.51    0.034    0.122
  4.7500   102.33   -0.051    0.097
  4.7667   102.15   -0.006    0.102
  4.7833   101.98    0.004    0.120
  4.8000   101.80    0.025    0.102
  4.8167   101.62   -0.015    0.107
  4.8333   101.44    0.027    0.111
  4.8500   101.27   -0.004    0.116
  4.8667   101.09   -0.068    0.105
  4.8833   100.91    0.023    0.097
  4.9000   100.73   -0.010    0.098
  4.9167   100.56   -0.027    0.099
  4.9333   100.38    0.004    0.096
  4.9500   100.20    0.025    0.108
  4.9667   100.03    0.036    0.119
  4.9833    99.85    0.023    0.130
  5.0000    99.68    0.044    0.113
  5.0167    99.50    0.023    0.112
  5.0333    99.33    0.003    0.099
  5.0500    99.15    0.032    0.095
  5.0667    98.97    0.045    0.092
  5.0833    98.80    0.043    0.118
  5.1000    98.62    0.032    0.109
  5.1167    98.45    0.023    0.096
  5.1333    98.28    0.042    0.100
  5.1500    98.10    0.035    0.117
  5.1667    97.93   -0.012    0.127
  5.1833    97.75   -0.022    0.137
  5.2000    97.58   -0.021    0.089
  5.2167    97.41    0.038    0.108
  5.2333    97.23    0.057    0.113
  5.2500    97.06    0.021    0.125
  5.2667    96.89   -0.011    0.102
  5.2833    96.72    0.030    0.113
  5.3000    96.55    0.053    0.126
  5.3167    96.37    0.011    0.089
  5.3333    96.20    0.006    0.120
  5.3500    96.03   -0.002    0.095
  5.3667    95.86   -0.009    0.105
  5.3833    95.69    0.048    0.123
  5.4000    95.52    0.026    0.113
  5.4167    95.34    0.024    0.094
  5.4333    95.17    0.074    0.106
  5.4500    95.00    0.040    0.093
  5.4667    94.83   -0.015    0.121
  5.4833    94.67    0.004    0.119
  5.5000    94.50    0.063    0.126
  5.5167    94.33   -9.000   -9.000
  5.5333    94.16    0.045    0.118
  5.5500    93.99    0.028    0.122
  5.5667    93.82    0.026    0.115
  5.5833    93.65    0.046    0.135
  5.6000    93.48    0.057    0.108
  5.6167    93.31    0.088    0.105
  5.6333    93.15    0.062    0.110
  5.6500    92.98    0.068    0.110
  5.6667    92.81    0.093    0.103
  5.6833    92.64    0.059    0.129
  5.7000    92.48    0.065    0.131
  5.7167    92.31    0.099    0.087
  5.7333    92.15    0.052    0.094
  5.7500    91.98    0.065    0.130
  5.7667    91.81    0.052    0.114
  5.7833    91.65    0.043    0.099
  5.8000    91.48    0.026    0.104
  5.8167    91.32    0.051    0.104
  5.8333    91.16    0.053    0.099
  5.8500    90.99    0.073    0.120
  5.8667    90.83    0.071    0.092
  5.8833    90.66    0.096    0.121
  5.9000    89.91    0.077    0.121
  5.9167    89.79    0.059    0.112
  5.9333    89.66    0.042    0.113
  5.9500    89.53    0.074    0.119
  5.9667    89.40    0.061    0.089
  5.9833    89.26    0.063    0.151
  6.0000    89.12    0.050    0.131
  6.0167    88.98    0.032    0.119
  6.0333    88.84    0.119    0.102
  6.0500    88.69    0.106    0.098
  6.0667    88.55    0.065    0.117
  6.0833    88.40    0.086    0.119
  6.1000    88.26    0.071    0.142
  6.1167    88.11    0.047    0.099
  6.1333    87.96    0.018    0.129
  6.1500    87.81    0.060    0.099
  6.1667    87.66    0.055    0.099
  6.1833    87.51    0.059    0.136
  6.2000    87.36    0.082    0.095
  6.2167    87.21    0.073    0.131
  6.2333    87.06    0.128    0.119
  6.2500    86.91    0.060    0.096
  6.2667    86.76    0.072    0.127
  6.2833    86.61    0.078    0.102
  6.3000    86.46    0.061    0.135
  6.3167    86.31    0.099    0.129
  6.3333    86.16    0.039    0.097
  6.3500    86.01    0.058    0.108
  6.3667    85.86    0.111    0.095
  6.3833    85.71    0.091    0.099
  6.4000    85.56    0.099    0.094
  6.4167    85.41   -9.000   -9.000
  6.4333    85.26   -9.000   -9.000
  6.4500    85.11   -9.000   -9.000
  6.4667    84.96    0.117    0.113
  6.4833    84.81    0.089    0.118
  6.5000    84.66    0.079    0.105
  6.5167    84.51    0.083    0.095
  6.5333    84.36    0.124    0.109
  6.5500    84.21    0.109    0.121
  6.5667    84.06    0.117    0.147
  6.5833    83.92    0.117    0.099
  6.6000    83.77    0.121    0.123
  6.6167    83.62    0.125    0.134
  6.6333    83.47    0.131    0.129
  6.6500    83.33    0.112    0.141
  6.6667    83.18    0.130    0.154
  6.6833    83.03    0.124    0.132
  6.7000    82.89    0.132    0.116
  6.7167    82.74    0.155    0.123
  6.7333    82.59    0.138    0.121
  6.7500    82.45    0.154    0.088
  6.7667    82.30    0.162    0.118
  6.7833    82.16    0.131    0.112
  6.8000    82.02    0.128    0.124
  6.8167    81.87    0.132    0.135
  6.8333    81.73    0.132    0.115
  6.8500    81.58    0.176    0.135
  6.8667    81.44    0.169    0.104
  6.8833    81.30    0.196    0.133
  6.9000    81.16    0.192    0.092
  6.9167    81.01    0.206    0.095
  6.9333    80.87    0.202    0.122
  6.9500    80.73    0.225    0.105
  6.9667    80.59    0.222    0.101
  6.9833    80.45    0.220    0.117
  7.0000    80.31    0.285    0.096
  7.0167    80.17    0.261    0.126
  7.0333    80.03    0.274    0.089
  7.0500    79.89    0.284    0.105
  7.0667    79.75    0.324    0.099
  7.0833    79.61    0.401    0.128
  7.1000    79.48    0.458    0.119
  7.1167    79.34    0.534    0.092
  7.1333    79.20    0.615    0.105
  7.1500    79.06    0.697    0.071
  7.1667    78.93    0.883    0.129
  7.1833    78.79    1.045    0.137
  7.2000    78.66    1.222    0.094
  7.2167    78.52    1.445    0.127
  7.2333    78.39    1.706    0.150
  7.2500    78.25    2.148    0.221
  7.2667    78.12    2.603    0.111
  7.2833    77.99    2.820    0.126
  7.3000    77.85    3.028    0.181
  7.3167    77.72    3.298    0.137
  7.3333    77.59    3.375    0.193
  7.3500    77.46    3.759    0.194
  7.3667    77.33    4.083    0.169
  7.3833    77.19    4.585    0.187
  7.4000    77.06    5.139    0.274
  7.4167    76.94    6.551    0.569
  7.4333    76.81    8.174    0.376
  7.4500    76.68    9.370    0.173
  7.4667    76.55    8.869    0.292
  7.4833    76.42    9.952    0.394
  7.5000    76.29   10.980    0.345
  7.5167    76.17   10.767    0.257
  7.5333    76.04   12.027    0.504
  7.5500    75.91   14.912    1.076
  7.5667    75.79   15.749    0.507
  7.5833    75.66   13.675    0.328
  7.6000    75.54   12.717    0.244
  7.6167    75.41   12.413    0.284
  7.6333    75.29   10.895    0.544
  7.6500    75.17   10.975    0.871
  7.6667    75.04   13.395    0.367
  7.6833    74.92   13.930    0.346
  7.7000    74.80   12.003    0.407
  7.7167    74.68   12.063    0.190
  7.7333    74.56   12.639    0.314
  7.7500    74.44   13.227    0.553
  7.7667    74.32   13.243    0.640
  7.7833    74.20   11.129    0.482
  7.8000    74.08    9.428    0.465
  7.8167    73.96    8.713    0.213
  7.8333    73.84    9.128    0.121
  7.8500    73.73    9.264    0.154
  7.8667    73.61   10.440    0.930
  7.8833    73.50   13.353    1.155
  7.9000    73.38   15.695    0.649
  7.9167    73.26   16.748    0.503
  7.9333    73.15   17.878    0.207
  7.9500    73.04   19.305    0.791
  7.9667    72.92   22.589    1.429
  7.9833    72.81   28.185    2.062
  8.0000    72.70   29.512    0.839
  8.0167    72.59   25.005    1.763
  8.0333    72.47   19.746    0.721
  8.0500    72.36   17.380    0.653
  8.0667    72.25   14.433    1.286
  8.0833    72.14   12.264    0.679
  8.1000    72.04   11.849    1.653
  8.1167    71.93   14.818    0.800
  8.1333    71.82   17.166    3.024
  8.1500    71.71   23.732    1.163
  8.1667    71.61   24.372    1.553
  8.1833    71.50   15.416    2.238
  8.2000    71.39    7.827    1.950
  8.2167    71.29    6.067    0.207
  8.2333    71.19    5.674    0.716
  8.2500    71.08    5.678    0.487
  8.2667    70.98    5.952    0.299
  8.2833    70.88    5.543    0.175
  8.3000    70.78    9.564    1.900
  8.3167    70.67   19.437    3.183
  8.3333    70.57   26.562    2.119
  8.3500    70.47   27.455    1.969
  8.3667    70.38   26.504    1.632
  8.3833    70.28   22.257    4.066
  8.4000    70.18   14.569    1.085
  8.4167    70.08   14.159    1.348
  8.4333    69.98   12.517    0.672
  8.4500    69.89   11.777    0.687
  8.4667    69.79   12.152    1.449
  8.4833    69.70   24.175    3.310
  8.5000    69.60   39.761    5.049
  8.5167    69.51   50.353    2.180
  8.5333    69.42   60.173    3.203
  8.5500    69.32   69.243    8.357
  8.5667    69.23   82.962    4.088
  8.5833    69.14   85.411    4.586
  8.6000    69.05   89.403    2.169
  8.6167    68.96   96.230    1.269
  8.6333    68.87   87.735    5.533
  8.6500    68.78   89.842    6.878
  8.6667    68.69   95.837    6.596
  8.6833    68.61  114.810   11.069
  8.7000    68.52  105.214    7.971
  8.7167    68.44   92.537    6.957
  8.7333    68.35  125.996   13.612
  8.7500    68.27  162.362   14.983
  8.7667    68.18  186.275   10.639
  8.7833    68.10  140.761   19.711
  8.8000    68.02   91.996   16.099
  8.8167    67.94   65.088    4.271
  8.8333    67.85   52.853    1.799
  8.8500    67.77   59.782    1.800
  8.8667    67.69   65.876    2.241
  8.8833    67.61   65.738    2.685
  8.9000    67.54  104.397   14.538
  8.9167    67.46   90.101    8.882
  8.9333    67.38   75.974    7.238
  8.9500    67.31   45.547    6.481
  8.9667    67.23   36.449    3.893
  8.9833    67.16   40.440    8.184
  9.0000    67.08   36.325    9.134
  9.0167    67.01   72.875    9.825
  9.0333    66.94   70.431    6.614
  9.0500    66.86   64.273    6.666
  9.0667    66.79   85.954    9.046
  9.0833    66.72  110.977   10.723
  9.1000    66.65  123.567    9.902
  9.1167    66.58   86.535    7.296
  9.1333    66.52  108.615    3.509
  9.1500    66.45  127.862   13.923
  9.1667    66.38  176.302   15.367
  9.1833    66.32  208.703    6.247
  9.2000    66.25  225.846    5.774
  9.2167    66.19  181.299   51.049
  9.2333    66.12   92.604   10.276
  9.2500    66.06  107.178    8.648
  9.2667    66.00  113.866    8.519
  9.2833    65.94  155.681   28.601
  9.3000    65.88  185.564   27.494
  9.3167    65.82  190.956   27.782
  9.3333    65.76  179.290   26.991
  9.3500    65.70  147.146   21.816
  9.3667    65.64  126.567   19.332
  9.3833    65.58  173.628   19.980
  9.4000    65.53  203.277   17.140
  9.4167    65.47  162.546   19.422
  9.4333    65.42  116.450    8.295
  9.4500    65.36   85.720    8.516
  9.4667    65.31   90.970    6.775
  9.4833    65.26   84.109    2.070
  9.5000    65.21   74.174    7.448
  9.5167    65.16   74.464    6.397
  9.5333    65.11  110.324   20.263
  9.5500    65.06  181.561   21.569
  9.5667    65.01  169.352   13.931
  9.5833    64.96  113.776   17.497
  9.6000    64.92   75.422    6.088
  9.6167    64.87   97.475   10.788
  9.6333    64.83  124.313   24.314
  9.6500    64.78  188.627   27.632
  9.6667    64.74  198.250   12.925
  9.6833    64.69  169.042   12.880
  9.7000    64.65  175.232   18.570
  9.7167    64.61  243.502   43.093
  9.7333    64.57  320.002   25.541
  9.7500    64.53  357.151   21.348
  9.7667    64.49  307.132   38.292
  9.7833    64.45  248.315   18.235
  9.8000    64.42  352.734   43.357
  9.8167    64.38  444.762   17.380
  9.8333    64.35  427.753   31.813
  9.8500    64.31  461.138   13.467
  9.8667    64.28  441.466   22.978
  9.8833    64.25  433.901   26.269
  9.9000    64.21  410.511   16.959
  9.9167    64.18  431.004   34.530
  9.9333    64.15  464.186   21.493
  9.9500    64.12  409.717   33.528
  9.9667    64.09  397.927   20.067
  9.9833    64.07  389.211   20.781
 10.0000    64.04  404.306   34.642
 10.0167    64.01  431.641   22.080
 10.0333    63.99  557.542   15.947
 10.0500    63.96  513.132   27.198
 10.0667    63.94  537.894   15.786
 10.0833    63.92  440.518   44.344
 10.1000    63.89  438.226   20.690
 10.1167    63.87  401.716   30.147
 10.1333    63.85  373.697   29.488
 10.1500    63.83  305.167   17.620
 10.1667    63.81  429.893   50.028
 10.1833    63.80  476.199   23.738
 10.2000    63.78  488.404   16.453
 10.2167    63.76  519.862    8.052
 10.2333    63.75  484.227   24.315
 10.2500    63.73  515.477   38.605
 10.2667    63.72  573.980   32.596
 10.2833    63.71  652.535   42.383
 10.3000    63.69  732.124   10.437
 10.3167    63.68  753.445   13.788
 10.3333    63.67  763.460   17.819
 10.3500    63.66  770.991    8.039
 10.3667    63.65  761.355   21.046
 10.3833    63.65  705.755   11.435
 10.4000    63.64  698.113   14.350
 10.4167    63.63  704.510   10.405
 10.4333    63.63  710.806    6.493
 10.4500    63.62  724.364    7.885
 10.4667    63.62  757.298    8.889
 10.4833    63.62  753.933    4.873
 10.5000    63.62  756.001    6.269
 10.5167    63.62  757.753    8.055
 10.5333    63.62  725.790   15.971
 10.5500    63.62  675.183   24.155
 10.5667    63.62  644.058   22.964
 10.5833    63.62  618.038   24.494
 10.6000    63.62  638.002   27.699
 10.6167    63.63  700.944   15.248
 10.6333    63.63  734.361   15.406
 10.6500    63.64  736.538   10.365
 10.6667    63.64  724.803    9.026
 10.6833    63.65  747.733   10.226
 10.7000    63.66  745.146   13.980
 10.7167    63.67  749.669    5.175
 10.7333    63.68  711.747   25.554
 10.7500    63.69  665.866   12.101
 10.7667    63.70  672.687    7.679
 10.7833    63.72  606.703   28.113
 10.8000    63.73  619.053   19.344
 10.8167    63.74  660.306   11.787
 10.8333    63.76  704.243    8.550
 10.8500    63.77  685.021   21.998
 10.8667    63.79  634.210   10.999
 10.8833    63.81  550.246   35.375
 10.9000    63.83  476.859   10.054
 10.9167    63.84  532.211   47.703
 10.9333    63.87  600.656   29.720
 10.9500    63.89  635.713   12.301
 10.9667    63.91  645.886    3.001
 10.9833    63.93  631.330   27.888
 11.0000    63.95  645.757   33.295
 11.0167    63.98  617.670   12.623
 11.0333    64.00  670.461   10.700
 11.0500    64.03  686.763   15.432
 11.0667    64.06  714.880   14.590
 11.0833    64.08  710.504    9.198
 11.1000    64.11  674.363   17.048
 11.1167    64.14  587.414   13.157
 11.1333    64.17  564.854    9.257
 11.1500    64.20  539.837    9.504
 11.1667    64.23  568.682   24.396
 11.1833    64.27  606.040   13.118
 11.2000    64.30  651.151   27.482
 11.2167    64.34  698.699    5.501
 11.2333    64.37  700.377   10.982
 11.2500    64.41  693.922    7.285
 11.2667    64.44  693.945   12.668
 11.2833    64.48  702.577    3.684
 11.3000    64.52  726.541    9.062
 11.3167    64.56  733.544    5.748
 11.3333    64.60  715.649    4.657
 11.3500    64.64  733.419    9.143
 11.3667    64.68  743.616    3.551
 11.3833    64.72  746.647    2.730
 11.4000    64.77  755.500    2.818
